group,names,scores,logfoldchanges,pvals,pvals_adj
3,Crisp1,0.09893485,22.773731,0.9211899996976561,1.0
3,Zfp503,0.09893485,22.653835,0.9211899996976561,1.0
3,H2-Ob,0.09893485,-0.01856737,0.9211899996976561,1.0
3,Asb2,0.09893485,21.566744,0.9211899996976561,1.0
3,Map10,0.09711753,1.1557689,0.9226330603366857,1.0
3,Phxr4,0.09704483,1.2266074,0.9226907880917088,1.0
3,Mmrn1,0.096972145,0.9524754,0.9227485162539714,1.0
3,Itgax,0.09689945,0.9733489,0.9228062448231711,1.0
3,R74862,0.096390605,0.14326502,0.9232103561764277,1.0
3,Zfp963,0.096390605,0.03581452,0.9232103561764277,1.0
3,Prmt2,0.09253789,0.3504287,0.9262706922380983,1.0
3,Abhd6,0.09224711,-0.27607533,0.9265017058488211,1.0
3,Gm2a,0.09206538,0.038004655,0.9266460925034187,1.0
3,Tie1,0.09159288,0.13372877,0.9270215090994427,1.0
3,Phlpp1,0.091338456,-0.09995076,0.9272236632323713,1.0
3,Pkp1,0.08879421,3.1639822,0.9292454608026913,1.0
3,Dcstamp,0.08879421,2.5674434,0.9292454608026913,1.0
3,Cmtm8,0.087812856,0.24643986,0.9300254197976976,1.0
3,Phf1,0.08701324,1.3073642,0.9306609916733184,1.0
3,Id3,0.08664977,0.7310515,0.9309499026238588,1.0
3,Rasal1,0.0864317,0.46087983,0.9311232535641855,1.0
3,Thsd1,0.086359,0.0740127,0.9311810379374764,1.0
3,Ccl5,0.085922845,0.018056776,0.9315277517844193,1.0
3,Ccdc92,0.08574111,0.9123744,0.9316722197259939,1.0
3,Cd22,0.08494149,0.2924078,0.932307905348241,1.0
3,Tspan17,0.08414187,0.29377893,0.9329436341483219,1.0
3,Nr4a1,0.0833059,0.5292996,0.9336083054403777,1.0
3,Cd38,0.08326956,0.49610785,0.9336372052455983,1.0
3,Mx2,0.08316052,0.48488986,0.9337239051859093,1.0
3,Gm20559,0.07974396,-0.041859873,0.9364408963136974,1.0
3,Hbb-bs,0.0788353,-0.58368903,0.9371636262689332,1.0
3,Tpsb2,0.07879895,3.8676457,0.9371925365479935,1.0
3,Calca,0.07872626,2.2624269,0.9372503573544786,1.0
3,Ppp1r3g,0.07865357,1.6399933,0.9373081784918632,1.0
3,Fez1,0.07865357,1.6033136,0.9373081784918632,1.0
3,Sh3bgrl2,0.07821741,0.15898347,0.9376551122480569,1.0
3,Rnase4,0.07792664,0.6466635,0.9378864079983794,1.0
3,Pdgfrb,0.077563174,0.15007907,0.9381755350540851,1.0
3,Epha10,0.077345096,1.3621845,0.9383490152024249,1.0
3,5830416I19Rik,0.0763274,0.58065337,0.939158627785859,1.0
3,Spib,0.0762547,-0.15196718,0.9392164596725509,1.0
3,Rhod,0.076182015,0.19485351,0.9392742918798153,1.0
3,Tmcc1,0.074764505,-0.018972838,0.9404020835606756,1.0
3,4930458D05Rik,0.07421931,0.34393892,0.9408358815421013,1.0
3,Igf2r,0.07363777,0.1090541,0.9412986187337576,1.0
3,Nefh,0.07309257,-0.041723162,0.941732452851226,1.0
3,C030014I23Rik,0.068658315,1.8524185,0.9452616011436731,1.0
3,9330151L19Rik,0.06789504,0.12745902,0.9458691878185858,1.0
3,Gm10642,0.06716811,1.1555822,0.9464478710739724,1.0
3,Gpr55,0.06695003,1.0254222,0.9466214815742978,1.0
3,Ankrd22,0.06695003,0.9947833,0.9466214815742978,1.0
3,Klrd1,0.06495098,0.6730665,0.9482130282321427,1.0
3,Clec2h,0.06331539,0.33774254,0.949515356770176,1.0
3,Etv5,0.06218866,-0.03959371,0.9504125950986883,1.0
3,Dnajb5,0.061207306,-0.027305787,0.9511941120060028,1.0
3,Sox12,0.060007874,0.37314418,0.9521493630127668,1.0
3,Calcoco1,0.059208255,-0.0016127678,0.9527862353000981,1.0
3,Hgfac,0.05866306,1.601029,0.9532204837178367,1.0
3,Adam19,0.058590367,1.5392542,0.9532783845590465,1.0
3,Cd7,0.056409582,0.712474,0.9550155230962937,1.0
3,Chil1,0.056409582,0.7170111,0.9550155230962937,1.0
3,Jmy,0.056373235,0.13999353,0.9550444772387232,1.0
3,Mfsd9,0.056264196,0.25091487,0.9551313400218154,1.0
3,Rab11fip3,0.053065717,-0.14698753,0.9576795477497182,1.0
3,Gm4707,0.050303392,-0.21740113,0.9598806216465147,1.0
3,Cd72,0.049067613,-0.29120693,0.9608654126259639,1.0
3,Fmn1,0.048377033,0.37499171,0.9614157631025453,1.0
3,Cmklr1,0.04830434,0.5049571,0.9614736958057806,1.0
3,Dennd5b,0.047250293,0.76172197,0.962313742707998,1.0
3,Cul7,0.046668753,-0.008978106,0.962777234830055,1.0
3,Sall2,0.04608721,0.28093234,0.9632407395313862,1.0
3,Ccdc189,0.046014518,0.10872226,0.9632986784957428,1.0
3,Gbp7,0.04448797,-0.028801458,0.9645154410448953,1.0
3,Amigo1,0.044451624,0.2595296,0.9645444126001982,1.0
3,Gdf15,0.043652,-0.045767065,0.9651817985916611,1.0
3,Sh3bp4,0.04321585,-0.0984154,0.965529473081301,1.0
